id,date_created,date_last_modified,active_date,name,phone,resign_date,resign_reason,status,tipe,area,"CONCAT('operator_',id)",modified_by,vehicle_type,helmet_qty,jacket_qty,vehicle_brand,vehicle_year,bike_type,first_ride_bonus_awarded,is_doc_completed
6,2018-03-19 09:00:40,2018-04-05 06:12:34,2018-04-05,driver_6,628222124556,,,1,1,7001,operator_6,,bike,,,,2009.0,,\0,
11,2018-03-19 09:26:05,2018-04-09 12:20:15,2018-04-09,driver_11,6282221245511,,,1,1,7001,operator_11,,bike,,,,2017.0,,\0,
12,2018-03-19 09:27:22,2018-03-30 04:30:36,2018-03-30,driver_12,6282221245512,,,1,1,6301,operator_12,,bike,,,,,,\0,
14,2018-03-19 14:02:34,2018-04-03 07:30:11,2018-04-03,driver_14,6282221245514,,,1,1,6301,operator_14,,bike,,,,,,\0,
15,2018-03-19 14:04:01,2018-03-19 14:04:01,2018-03-19,driver_15,6282221245515,,,0,1,6301,operator_15,,bike,,,,,,\0,
16,2018-03-19 14:49:09,2018-03-19 14:49:09,2018-03-19,driver_16,6282221245516,,,0,1,6301,operator_16,,bike,,,,,,\0,
17,2018-03-24 06:21:47,2018-03-24 06:21:47,2018-03-24,driver_17,6282221245517,,,0,1,7001,operator_17,,bike,,,,2010.0,,\0,
18,2018-03-24 06:25:03,2018-04-11 08:57:34,2018-04-11,driver_18,6282221245518,,,0,1,7001,operator_18,,bike,,,,2011.0,,\0,
19,2018-03-26 04:28:38,2018-04-05 05:35:18,2018-04-05,driver_19,6282221245519,,,0,1,7001,operator_19,,bike,,,,2010.0,,\0,
20,2018-03-26 05:09:04,2018-03-26 05:11:14,2018-03-26,driver_20,6282221245520,,,0,1,7001,operator_20,,bike,,,,2018.0,,\0,
21,2018-03-26 06:35:51,2018-03-26 06:35:51,2018-03-26,driver_21,6282221245521,,,0,1,6301,operator_21,,bike,,,,,,\0,
22,2018-03-26 09:45:41,2018-03-26 09:50:11,2018-03-26,driver_22,6282221245522,,,0,1,7001,operator_22,,bike,,,,2008.0,,\0,
23,2018-03-26 09:47:07,2018-03-26 09:47:07,2018-03-26,driver_23,6282221245523,,,0,1,7001,operator_23,,bike,,,,2008.0,,\0,
25,2018-03-26 11:22:36,2018-03-26 11:22:36,2018-03-26,driver_25,6282221245525,,,0,1,6301,operator_25,,bike,,,,,,\0,
26,2018-03-26 11:50:21,2018-03-26 11:50:21,2018-03-26,driver_26,6282221245526,,,0,1,7001,operator_26,,bike,,,,2010.0,,\0,
27,2018-03-26 11:52:03,2018-03-26 11:52:03,2018-03-26,driver_27,6282221245527,,,0,1,7001,operator_27,,bike,,,,2010.0,,\0,
28,2018-03-27 03:51:46,2018-04-02 09:03:48,2018-04-02,driver_28,6282221245528,,,0,1,7001,operator_28,,bike,,,,2012.0,,\0,
